Tiempo (s);Data1;Data2
0.7656354904174805;-38764.96484375;-8.193085670471191
0.7656731605529785;-38776.20703125;-10.111115455627441
0.7657155990600586;-38765.56640625;-13.856832504272461
0.7657339572906494;-38749.69921875;-16.676286697387695
0.765749454498291;-38765.87890625;-17.64177703857422
0.7657780647277832;-38780.51953125;-17.738910675048828
0.7657980918884277;-38768.25;-17.17048454284668
0.7658295631408691;-38751.41796875;-15.365818977355957
0.7658426761627197;-38759.77734375;-13.314735412597656
0.7658596038818359;-38778.26171875;-12.971733093261719
0.7658758163452148;-38765.9921875;-14.258304595947266
0.7658932209014893;-38753.4765625;-15.194671630859375
0.7659182548522949;-38748.4453125;-15.220355033874512
0.7659316062927246;-38772.02734375;-16.0466251373291
0.7659478187561035;-38773.390625;-18.501928329467773
0.7659602165222168;-38746.76953125;-20.68160629272461
0.765972375869751;-38745.65234375;-20.6957950592041
0.7659857273101807;-38773.99609375;-19.460891723632812
0.765998363494873;-38773.92578125;-18.978687286376953
0.7660114765167236;-38741.359375;-19.392934799194336
0.7660260200500488;-38730.51953125;-19.55998420715332
0.7660398483276367;-38757.1171875;-19.287118911743164
0.7660534381866455;-38757.296875;-18.997831344604492
0.7660667896270752;-38745.31640625;-17.7952880859375
0.7660806179046631;-38742.07421875;-14.371637344360352
0.7660939693450928;-38746.43359375;-10.104240417480469
0.7661066055297852;-38772.16015625;-8.444853782653809
0.7661197185516357;-38772.609375;-10.62812328338623
0.7661330699920654;-38739.015625;-14.504108428955078
0.7661452293395996;-38749.23046875;-17.58422088623047
0.7661569118499756;-38769.1875;-18.755077362060547
0.7661678791046143;-38748.6484375;-17.382173538208008
0.7661805152893066;-38741.11328125;-13.550666809082031
0.7661926746368408;-38754.90625;-9.46713924407959
0.7662043571472168;-38762.52734375;-8.249903678894043
0.7662160396575928;-38754.7265625;-10.537310600280762
0.7662270069122314;-38739.26171875;-13.579176902770996
0.7662379741668701;-38742.30078125;-14.239741325378418
0.7662491798400879;-38761.03125;-12.002685546875
0.7662692070007324;-38751.80078125;-8.498180389404297
0.7662804126739502;-38725.828125;-5.282259941101074
0.7662937641143799;-38737.5390625;-3.3056812286376953
0.7663054466247559;-38755.578125;-3.3878908157348633
0.7663168907165527;-38763.0859375;-5.37916374206543
0.7663280963897705;-38743.5078125;-7.521792888641357
0.7663393020629883;-38732.84375;-8.14439582824707
0.766350269317627;-38747.39453125;-7.329647541046143
0.7663609981536865;-38760.80859375;-5.973496437072754
0.7663729190826416;-38736.33203125;-4.327628135681152
0.7663841247558594;-38718.3828125;-2.3314528465270996
0.7663958072662354;-38737.5625;-0.37404000759124756
0.7664053440093994;-38761.34375;1.1066076755523682
0.7664217948913574;-38745.8984375;2.3048806190490723
0.7664315700531006;-38734.72265625;3.5574591159820557
0.7664401531219482;-38739.796875;4.349566459655762
0.7664716243743896;-38746.01171875;3.685790538787842
0.7664835453033447;-38737.96484375;1.5992414951324463
0.7664916515350342;-38724.375;-0.6122323274612427
0.7665050029754639;-38732.80078125;-2.0897347927093506
0.7665152549743652;-38747.23828125;-3.1925065517425537
0.766524076461792;-38739.83984375;-4.049455642700195
0.7665331363677979;-38716.1015625;-4.027542591094971
0.7665417194366455;-38725.625;-3.3638317584991455
0.766552209854126;-38745.16015625;-3.4709243774414062
0.7665610313415527;-38743.0390625;-4.565989017486572
0.7665739059448242;-38720.5078125;-4.7893595695495605
0.7665841579437256;-38725.35546875;-3.0950205326080322
0.7665936946868896;-38745.453125;-1.2176933288574219
0.766603946685791;-38760.76171875;-1.1398046016693115
0.7666182518005371;-38739.83984375;-2.3069939613342285
0.7666280269622803;-38730.56640625;-3.2159290313720703
0.7666459083557129;-38754.28125;-4.215868949890137
0.7666563987731934;-38760.984375;-6.306398391723633
0.7666656970977783;-38734.65625;-8.3851900100708
0.7666780948638916;-38719.90234375;-8.428828239440918
0.7666866779327393;-38740.734375;-6.6913981437683105
0.7666957378387451;-38750.32421875;-5.249467372894287
0.7667107582092285;-38735.52734375;-4.704004764556885
0.7667202949523926;-38726.921875;-3.6056675910949707
0.7667298316955566;-38743.59765625;-1.047981858253479
0.7667381763458252;-38760.046875;2.3497633934020996
0.766746997833252;-38749.7890625;6.026620864868164
0.7667562961578369;-38730.8984375;9.83094310760498
0.7667648792266846;-38738.61328125;12.465532302856445
0.7667741775512695;-38760.11328125;11.682151794433594
0.7667834758758545;-38760.3359375;7.043547630310059
0.7667930126190186;-38719.94921875;1.1393345594406128
0.7668030261993408;-38717.06640625;-3.016630172729492
0.7668123245239258;-38742.41015625;-4.688266277313232
0.7668225765228271;-38754.90625;-4.643625736236572
0.7668323516845703;-38734.0078125;-3.4622037410736084
0.7668423652648926;-38726.20703125;-2.14371657371521
0.766852617263794;-38741.00390625;-2.613192081451416
0.7668659687042236;-38746.390625;-5.462081432342529
0.7668747901916504;-38730.140625;-8.096333503723145
0.7668843269348145;-38716.75;-7.276655673980713
0.7668933868408203;-38730.51953125;-3.31630277633667
0.766904354095459;-38755.64453125;0.31470394134521484
0.7669155597686768;-38738.12109375;1.3418246507644653
0.7669246196746826;-38723.61328125;0.4289027154445648
0.7669339179992676;-38742.09765625;-0.7498970627784729
0.766944169998169;-38754.81640625;-0.9119077920913696
0.766953706741333;-38733.76171875;0.6352769732475281
0.766974925994873;-38704.2578125;3.3994908332824707
0.7669839859008789;-38725.37890625;5.603763103485107
0.766993522644043;-38760.0234375;5.718852519989014
0.7670025825500488;-38748.22265625;4.20428991317749
0.7670114040374756;-38727.94921875;3.031806707382202
0.7670204639434814;-38740.80078125;3.140629529953003
